method,model,question_index,score,max_score,issue_type,file,question_preview
self_consistency_essay_n3,gpt-4.1-nano,34,9,4,"OVER MAX (score: 9, max: 4)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,"Finally, Wilkerson gets her first chance to give her input on a live project the firm is working on...."
self_consistency_essay_n3,gpt-4.1-nano,35,9,3,"OVER MAX (score: 9, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,Calculate the Distributed to Paid-In (DPI) multiple for Apex Capital's private equity fund at the en...
self_consistency_essay_n3,gpt-4.1-nano,36,8,3,"OVER MAX (score: 8, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,Calculate the Residual Value to Paid-In (RVPI) multiple for Apex Capital's private equity fund at th...
self_consistency_essay_n3,gpt-4.1-nano,37,10,3,"OVER MAX (score: 10, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,Calculate the Total Value to Paid-In (TVPI) multiple for Apex Capital's private equity fund at the e...
self_consistency_essay_n3,gpt-4.1-nano,38,8,3,"OVER MAX (score: 8, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,Calculate the amount of carried interest Apex Capital would earn at the end of year 10.
self_consistency_essay_n3,gpt-4.1-nano,39,7,3,"OVER MAX (score: 7, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,Identify and discuss the critical challenges faced by the Patel family due to their multijurisdictio...
self_consistency_essay_n3,gpt-4.1-nano,40,8,3,"OVER MAX (score: 8, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,Recommend strategies for managing the Patel family's investments considering their multijurisdiction...
self_consistency_essay_n3,gpt-4.1-nano,41,9,3,"OVER MAX (score: 9, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,"Explain one benefit, one potential drawback, and a long-term consideration of renouncing citizenship..."
self_consistency_essay_n3,gpt-4.1-nano,42,8,3,"OVER MAX (score: 8, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,Evaluate the role of double taxation treaties in the Patel family's financial planning.
self_consistency_essay_n3,deepseek-r1,0,8,6,"OVER MAX (score: 8, max: 6)",results/self_consistency_essay_n3/evaluated_results_deepseek-r1__self_consistency_essay_n3.json,Calculate the annualized post-liquidation return over the 5 years for the Nilsson portfolio.
self_consistency_essay_n3,deepseek-r1,1,10,2,"OVER MAX (score: 10, max: 2)",results/self_consistency_essay_n3/evaluated_results_deepseek-r1__self_consistency_essay_n3.json,"The Nilssons are happy to see the work done by Klinberg, and at their next meeting, they discuss the..."
self_consistency_essay_n3,deepseek-r1,2,9,2,"OVER MAX (score: 9, max: 2)",results/self_consistency_essay_n3/evaluated_results_deepseek-r1__self_consistency_essay_n3.json,Klingberg knows that his clients are tax-sensitive investors and wants to show that he is doing ever...
